CollectionID,LoanID,CollectionDate,AmountCollected,OutstandingBalance,CollectionStatus,Remarks
1,1,2024-07-16,16478,72143,Overdue,On time
2,2,2024-04-26,987,55006,Overdue,Pending
3,3,2024-07-12,15835,96127,Partial,Pending
4,4,2024-10-08,16045,61930,Partial,On time
5,5,2024-06-06,5357,6712,Overdue,Pending
6,6,2024-01-20,7339,22210,Overdue,Delayed
7,7,2024-08-17,3809,98210,Overdue,Delayed
8,8,2024-04-26,16153,46644,Overdue,On time
9,9,2024-04-10,14692,24510,Full,Pending
10,10,2024-02-11,13213,4942,Partial,Pending
11,11,2024-02-27,1897,65537,Partial,Pending
12,12,2024-08-03,12994,90662,Full,Delayed
13,13,2024-03-27,10419,47731,Full,On time
14,14,2024-03-26,7032,69340,Overdue,Pending
15,15,2024-04-06,6086,34661,Overdue,Pending
16,16,2024-06-29,4891,24316,Partial,Pending
17,17,2024-02-29,18050,37270,Full,Pending
18,18,2024-02-08,4961,43530,Full,On time
19,19,2024-09-27,18167,83341,Overdue,Delayed
20,20,2024-07-29,15380,15725,Full,Pending
21,21,2024-07-15,14247,64540,Full,Pending
22,22,2024-05-20,6554,53139,Partial,Pending
23,23,2024-06-09,8967,40090,Full,Pending
24,24,2024-10-15,19325,32181,Full,Pending
25,25,2024-06-04,6404,31020,Partial,Delayed
26,26,2024-06-11,18657,46547,Overdue,On time
27,27,2024-08-08,10625,36867,Full,Delayed
28,28,2024-05-08,14256,81980,Partial,On time
29,29,2024-04-26,12248,26586,Full,Pending
30,30,2024-02-01,15130,23011,Overdue,Delayed
31,31,2024-04-04,8860,5580,Overdue,Delayed
32,32,2024-03-04,18303,19816,Partial,On time
33,33,2024-08-29,10659,49861,Partial,On time
34,34,2024-07-05,5917,49204,Full,Delayed
35,35,2024-09-14,2583,73682,Partial,Delayed
36,36,2024-01-26,8912,61253,Overdue,Delayed
37,37,2024-10-27,10385,21382,Full,Delayed
38,38,2024-05-01,5669,38035,Full,Delayed
39,39,2024-01-23,6065,21474,Overdue,Pending
40,40,2024-06-18,12513,98469,Overdue,Delayed
41,41,2024-06-06,13477,34979,Full,Pending
42,42,2024-06-16,15663,32781,Partial,Pending
43,43,2024-02-29,19164,15365,Full,Delayed
44,44,2024-06-09,8451,90880,Partial,On time
