LoanID,ProductID,LoanAmount,LoanDate,InterestRate,LoanTerm,EmployeeID,BranchID,CustomerID,RepaymentSchedule
1,5,2698065,2023-10-21,11.72,231,159,9,2197,Monthly
2,7,3100092,2021-08-30,9.76,43,177,3,9966,Yearly
3,5,3419861,2021-09-30,11.35,153,136,7,3479,Yearly
4,3,4022576,2022-09-10,10.68,111,195,4,9163,Yearly
5,5,2065980,2022-07-20,8.48,226,153,3,1492,Monthly
6,2,4024055,2022-08-04,10.76,138,107,8,4878,Quarterly
7,2,2228764,2023-09-12,11.25,85,124,10,2474,Yearly
8,1,2719817,2022-12-05,10.78,108,137,6,4457,Monthly
9,8,1453922,2020-10-04,8.7,92,173,1,3843,Yearly
10,7,293331,2020-01-26,9.72,112,181,5,6602,Yearly
11,4,1707789,2024-05-04,11.29,167,194,9,6308,Monthly
12,5,4710669,2023-06-09,9.9,30,159,1,7881,Yearly
13,6,222912,2021-01-31,10.39,106,174,8,7363,Monthly
14,4,4955315,2022-07-02,9.34,101,159,9,5622,Yearly
15,1,741723,2020-07-12,8.41,146,149,5,6573,Quarterly
16,8,4126962,2023-02-21,10.51,129,158,5,6839,Monthly
17,5,4104631,2024-09-01,10.41,86,128,8,6473,Yearly
18,1,2997196,2020-06-14,11.51,15,179,3,2589,Yearly
19,1,1217449,2020-01-03,9.93,157,175,6,4788,Yearly
20,3,2739993,2024-10-05,6.51,224,160,10,2589,Yearly
21,8,1366519,2023-01-21,10.83,48,156,1,5458,Quarterly
22,6,765035,2020-12-06,10.14,26,100,10,6825,Quarterly
23,5,4907467,2022-05-26,8.26,183,185,10,7921,Quarterly
24,8,3696550,2020-04-06,10.61,129,162,1,5386,Quarterly
25,3,3615736,2021-12-31,9.73,46,102,10,1869,Monthly
26,2,1832486,2023-09-03,10.31,150,163,2,6702,Yearly
27,4,1125091,2023-05-09,11.17,200,144,6,3566,Quarterly
28,1,2424004,2022-09-15,10.24,28,192,10,2106,Monthly
29,1,2843262,2023-04-04,7.78,78,158,7,8703,Yearly
30,1,3974900,2023-06-15,9.06,105,177,5,6931,Yearly
31,5,971012,2023-03-31,8.54,92,179,6,6602,Monthly
32,8,4720080,2023-09-14,8.77,236,192,1,5611,Monthly
33,3,4577389,2024-08-20,8.92,48,154,5,4011,Monthly
34,3,4127388,2021-10-18,8.65,138,174,1,6375,Yearly
35,6,3792687,2021-06-22,10.26,45,158,2,5040,Quarterly
36,6,2278006,2024-01-15,10.29,84,104,1,1661,Quarterly
37,4,3566406,2021-03-08,11.89,225,123,1,5931,Monthly
38,8,2160085,2021-08-07,6.77,226,132,10,1971,Yearly
39,8,3727258,2024-09-21,9.24,155,102,3,3883,Monthly
40,5,3501356,2023-04-09,7.67,48,136,10,4720,Yearly
41,6,1457424,2023-01-24,11.37,93,196,4,7783,Monthly
42,3,957962,2023-07-20,9.87,188,100,4,7732,Yearly
43,4,3509837,2021-04-24,11.49,52,146,6,9749,Quarterly
44,1,536495,2022-06-15,8.57,121,155,10,6322,Quarterly
45,5,796772,2021-01-25,11.98,171,179,1,9869,Quarterly
46,6,1021819,2021-02-21,6.75,93,155,6,6781,Yearly
47,3,482369,2020-02-06,6.83,100,172,1,3741,Quarterly
48,2,2632642,2020-08-10,8.23,178,162,3,8226,Yearly
49,2,4258409,2020-02-18,8.69,107,151,8,2355,Quarterly
50,5,1367697,2021-03-23,11.39,64,122,10,2353,Yearly
51,7,1136668,2024-02-21,7.92,108,123,1,1727,Monthly
52,3,4512295,2023-09-18,11.09,170,162,6,9225,Yearly
53,2,3427095,2021-02-25,9.1,232,171,4,4883,Monthly
54,3,1824289,2020-09-20,8.2,222,110,2,2753,Yearly
55,6,3092977,2021-03-02,7.13,236,165,7,3556,Monthly
56,1,4411536,2023-07-16,11.98,38,199,5,1971,Quarterly
57,7,4463119,2023-11-17,9.75,183,184,5,5956,Quarterly
58,7,4555134,2023-08-15,7.12,105,116,7,4098,Monthly
59,5,3397003,2021-07-12,8.99,186,111,1,1765,Quarterly
60,8,2582804,2023-11-12,11.07,61,140,10,1425,Yearly
61,8,3654060,2024-05-01,10.37,129,124,3,9867,Yearly
62,1,1449570,2023-08-10,8.32,51,103,8,9534,Quarterly
63,6,123032,2024-09-11,11.82,13,147,4,2490,Quarterly
64,6,1566770,2023-10-30,6.9,216,103,6,3513,Monthly
65,8,3101054,2023-04-10,10.62,226,172,6,6620,Quarterly
66,1,1379408,2023-01-08,10.47,109,185,6,7293,Quarterly
67,6,4864516,2021-12-02,9.82,30,197,10,6471,Quarterly
68,6,3631296,2021-07-31,9.49,16,165,1,1587,Quarterly
69,6,4624877,2023-08-12,9.28,230,118,7,3041,Quarterly
70,2,3538032,2020-01-24,10.4,186,179,8,4943,Yearly
71,7,4493205,2024-03-27,7.03,161,115,5,6375,Yearly
72,7,1520645,2022-01-05,10.34,107,162,8,7768,Yearly
73,2,205672,2024-04-07,10.3,177,125,5,6473,Yearly
74,2,720697,2022-04-16,8.98,188,186,9,1638,Quarterly
75,4,4337283,2023-06-30,10.67,41,157,3,6019,Quarterly
76,5,3907830,2024-08-23,9.66,236,128,10,8758,Yearly
77,5,706437,2023-02-14,8.41,25,170,9,1795,Yearly
78,3,1558151,2020-04-13,8.37,16,146,1,7881,Yearly
79,2,204314,2020-04-27,10.42,209,149,3,8157,Monthly
80,2,3153413,2024-02-10,9.83,170,178,3,1747,Quarterly
81,5,4518669,2023-02-19,9.19,166,195,9,9463,Yearly
82,2,1100299,2020-12-17,6.93,139,120,10,6384,Quarterly
83,2,4641584,2024-02-05,8.21,232,111,10,1033,Quarterly
84,4,1614487,2020-09-05,9.11,194,124,3,5386,Yearly
85,7,604463,2021-03-17,8.54,172,135,8,6999,Yearly
86,7,4694774,2024-06-23,11.27,116,117,7,2467,Quarterly
87,5,444805,2022-05-18,9.67,180,144,7,9445,Quarterly
88,6,4149054,2023-12-15,8,210,123,2,9623,Yearly
89,7,4051073,2024-05-25,8.95,116,175,4,8609,Yearly
90,2,3556029,2020-08-31,7.72,224,126,5,4689,Quarterly
91,1,2942646,2024-06-14,11.76,214,130,9,8330,Monthly
